,,,,,,,# started on Mon Mar  7 16:20:35 2022,# started on Mon Mar  7 16:20:36 2022
0.0,,alignment-faults,0.00%,414154,100.0,0.0,K/sec,
0.0,,context-switches,0.00%,414154,100.0,0.0,K/sec,
0.41,msec,cpu-clock,0.83%,414154,100.0,0.444,CPUs utilized,
0.0,,cpu-migrations,0.00%,414154,100.0,0.0,K/sec,
0.0,,emulation-faults,0.00%,414154,100.0,0.0,K/sec,
336141.0,,branch-instructions,0.93%,482912,100.0,,,
8302.0,,branch-misses,0.94%,482912,100.0,2.47,,of all branches
8302.0,,branch-load-misses,0.94%,482912,100.0,,,
336195.0,,branch-loads,0.93%,482912,100.0,,,
736.0,,dTLB-load-misses,2.24%,442596,100.0,22.31,,of all dTLB cache accesses
3297.0,,dTLB-loads,1.00%,442596,100.0,,,
104.0,,iTLB-load-misses,1.37%,442596,100.0,598.85,,of all iTLB cache accesses
17.0,,iTLB-loads,8.83%,442596,100.0,,,
1176934.0,ns,duration_time,6.32%,1176933,100.0,2489.356,M/sec,
0.47,msec,task-clock,8.76%,472786,100.0,0.402,CPUs utilized,
1564743.0,,cpu-cycles,8.99%,474150,100.0,3.31,GHz,
1634966.0,,instructions,0.95%,474150,100.0,1.04,insn per cycle,
0.0,,bpf-output,0.00%,472786,100.0,0.0,K/sec,
19634.0,,L1-dcache-load-misses,6.69%,432540,100.0,2.78,,of all L1-dcache accesses
707545.0,,L1-dcache-loads,1.10%,432540,100.0,,,
10635.0,,L1-dcache-prefetches,12.83%,432540,100.0,,,
5475.0,,L1-icache-load-misses,1.47%,432540,100.0,1.34,,of all L1-icache accesses
407166.0,,L1-icache-loads,0.96%,432540,100.0,,,
0.0,,major-faults,0.00%,407880,100.0,,,
52.0,,minor-faults,0.47%,407880,100.0,,,
52.0,,page-faults,0.47%,407880,100.0,,,
23245.0,,cache-misses,1.83%,408348,100.0,22.793,,of all cache refs
101984.0,,cache-references,0.89%,408348,100.0,,,
