,,,,,,,# started on Mon Mar  7 16:20:37 2022
326830.0,,branch-instructions,1.24%,411420,100.0,,
8080.0,,branch-misses,0.79%,411420,100.0,2.47,of all branches
8080.0,,branch-load-misses,0.79%,411420,100.0,,
326884.0,,branch-loads,1.24%,411420,100.0,,
1226342.0,ns,duration_time,7.10%,1226342,100.0,2485.42,M/sec
0.49,msec,task-clock,8.59%,493414,100.0,0.402,CPUs utilized
1560907.0,,cpu-cycles,7.03%,494960,100.0,3.163,GHz
1596378.0,,instructions,1.31%,494960,100.0,1.02,insn per cycle
0.0,,bpf-output,0.00%,493414,100.0,0.0,K/sec
0.0,,alignment-faults,0.00%,397736,100.0,0.0,K/sec
0.0,,context-switches,0.00%,397736,100.0,0.0,K/sec
0.4,msec,cpu-clock,4.42%,397736,100.0,0.432,CPUs utilized
0.0,,cpu-migrations,0.00%,397736,100.0,0.0,K/sec
0.0,,emulation-faults,0.00%,397736,100.0,0.0,K/sec
0.0,,major-faults,0.00%,397928,100.0,,
55.0,,minor-faults,0.93%,397928,100.0,,
55.0,,page-faults,0.93%,397928,100.0,,
23213.0,,cache-misses,2.24%,398536,100.0,23.063,of all cache refs
100651.0,,cache-references,1.18%,398536,100.0,,
20443.0,,L1-dcache-load-misses,5.65%,431954,100.0,2.98,of all L1-dcache accesses
685327.0,,L1-dcache-loads,1.08%,431954,100.0,,
11430.0,,L1-dcache-prefetches,10.34%,431954,100.0,,
5571.0,,L1-icache-load-misses,1.09%,431954,100.0,1.39,of all L1-icache accesses
400919.0,,L1-icache-loads,0.34%,431954,100.0,,
761.0,,dTLB-load-misses,0.79%,453546,100.0,22.51,of all dTLB cache accesses
3381.0,,dTLB-loads,1.43%,453546,100.0,,
108.0,,iTLB-load-misses,1.03%,453546,100.0,510.38,of all iTLB cache accesses
21.0,,iTLB-loads,5.04%,453546,100.0,,
