,,,,,,,# started on Fri Mar  4 09:42:51 2022,# started on Fri Mar  4 09:42:52 2022
0.0,,alignment-faults,0.00%,412418,100.0,0.0,K/sec,
0.0,,context-switches,0.00%,412418,100.0,0.0,K/sec,
0.41,msec,cpu-clock,2.97%,412418,100.0,0.477,CPUs utilized,
0.0,,cpu-migrations,0.00%,412418,100.0,0.0,K/sec,
0.0,,emulation-faults,0.00%,412418,100.0,0.0,K/sec,
325963.0,,branch-instructions,1.79%,440442,100.0,,,
8036.0,,branch-misses,2.03%,440442,100.0,2.47,,of all branches
8036.0,,branch-load-misses,2.03%,440442,100.0,,,
326017.0,,branch-loads,1.79%,440442,100.0,,,
19069.0,,L1-dcache-load-misses,7.11%,424080,100.0,2.82,,of all L1-dcache accesses
677174.0,,L1-dcache-loads,1.64%,424080,100.0,,,
10456.0,,L1-dcache-prefetches,16.21%,424080,100.0,,,
5492.0,,L1-icache-load-misses,2.07%,424080,100.0,1.4,,of all L1-icache accesses
393335.0,,L1-icache-loads,1.34%,424080,100.0,,,
0.0,,major-faults,0.00%,405486,100.0,,,
53.0,,minor-faults,0.71%,405486,100.0,,,
53.0,,page-faults,0.71%,405486,100.0,,,
23025.0,,cache-misses,0.97%,405550,100.0,23.084,of all cache refs,
99742.0,,cache-references,0.84%,405550,100.0,,,
1163508.0,ns,duration_time,4.01%,1163508,100.0,2184.704,M/sec,
0.53,msec,task-clock,7.26%,532570,100.0,0.458,CPUs utilized,
1563107.0,,cpu-cycles,9.89%,533680,100.0,2.935,GHz,
1601068.0,,instructions,1.65%,533680,100.0,1.02,insn per cycle,
0.0,,bpf-output,0.00%,532570,100.0,0.0,K/sec,
802.0,,dTLB-load-misses,1.27%,472986,100.0,24.43,,of all dTLB cache accesses
3283.0,,dTLB-loads,1.07%,472986,100.0,,,
105.0,,iTLB-load-misses,1.39%,472986,100.0,633.73,,of all iTLB cache accesses
17.0,,iTLB-loads,5.59%,472986,100.0,,,
