,,,,,,,# started on Fri Mar  4 11:26:23 2022,# started on Fri Mar  4 11:26:24 2022
0.0,,alignment-faults,0.00%,426444,100.0,0.0,K/sec,
0.0,,context-switches,0.00%,426444,100.0,0.0,K/sec,
0.43,msec,cpu-clock,3.28%,426444,100.0,0.477,CPUs utilized,
0.0,,cpu-migrations,0.00%,426444,100.0,0.0,K/sec,
0.0,,emulation-faults,0.00%,426444,100.0,0.0,K/sec,
328477.0,,branch-instructions,1.06%,441094,100.0,,,
7704.0,,branch-misses,2.18%,441094,100.0,2.35,,of all branches
7704.0,,branch-load-misses,2.18%,441094,100.0,,,
328531.0,,branch-loads,1.06%,441094,100.0,,,
809.0,,dTLB-load-misses,1.38%,469830,100.0,24.06,,of all dTLB cache accesses
3362.0,,dTLB-loads,1.48%,469830,100.0,,,
105.0,,iTLB-load-misses,1.22%,469830,100.0,598.86,,of all iTLB cache accesses
18.0,,iTLB-loads,4.62%,469830,100.0,,,
1081969.0,ns,duration_time,7.98%,1081969,100.0,2221.83,M/sec,
0.49,msec,task-clock,6.97%,486972,100.0,0.45,CPUs utilized,
1520260.0,,cpu-cycles,6.05%,487884,100.0,3.122,GHz,
1601791.0,,instructions,0.87%,487884,100.0,1.05,insn per cycle,
0.0,,bpf-output,0.00%,486972,100.0,0.0,K/sec,
19439.0,,L1-dcache-load-misses,6.02%,424330,100.0,2.87,,of all L1-dcache accesses
678137.0,,L1-dcache-loads,0.96%,424330,100.0,,,
10403.0,,L1-dcache-prefetches,14.94%,424330,100.0,,,
5426.0,,L1-icache-load-misses,1.63%,424330,100.0,1.38,,of all L1-icache accesses
392578.0,,L1-icache-loads,0.54%,424330,100.0,,,
0.0,,major-faults,0.00%,419012,100.0,,,
56.0,,minor-faults,1.33%,419012,100.0,,,
56.0,,page-faults,1.33%,419012,100.0,,,
23333.0,,cache-misses,1.49%,419180,100.0,22.383,,of all cache refs
104243.0,,cache-references,1.92%,419180,100.0,,,
