,,,,,,,# started on Fri Mar  4 11:28:14 2022
826.0,,dTLB-load-misses,1.10%,444848,100.0,24.6,of all dTLB cache accesses
3357.0,,dTLB-loads,1.94%,444848,100.0,,
106.0,,iTLB-load-misses,1.22%,444848,100.0,517.65,of all iTLB cache accesses
20.0,,iTLB-loads,7.99%,444848,100.0,,
19228.0,,L1-dcache-load-misses,7.43%,450186,100.0,2.77,of all L1-dcache accesses
694130.0,,L1-dcache-loads,0.59%,450186,100.0,,
9646.0,,L1-dcache-prefetches,18.24%,450186,100.0,,
5485.0,,L1-icache-load-misses,1.80%,450186,100.0,1.38,of all L1-icache accesses
397449.0,,L1-icache-loads,1.09%,450186,100.0,,
1022418.0,ns,duration_time,9.68%,1022418,100.0,2105.637,M/sec
0.49,msec,task-clock,8.50%,485562,100.0,0.475,CPUs utilized
1514852.0,,cpu-cycles,7.99%,486182,100.0,3.12,GHz
1662258.0,,instructions,1.15%,486182,100.0,1.1,insn per cycle
0.0,,bpf-output,0.00%,485562,100.0,0.0,K/sec
339129.0,,branch-instructions,0.81%,466550,100.0,,
7853.0,,branch-misses,1.81%,466550,100.0,2.32,of all branches
7853.0,,branch-load-misses,1.81%,466550,100.0,,
339183.0,,branch-loads,0.81%,466550,100.0,,
0.0,,major-faults,0.00%,436856,100.0,,
59.0,,minor-faults,0.76%,436856,100.0,,
59.0,,page-faults,0.76%,436856,100.0,,
23367.0,,cache-misses,1.89%,436832,100.0,22.281,of all cache refs
104876.0,,cache-references,0.93%,436832,100.0,,
0.0,,alignment-faults,0.00%,435608,100.0,0.0,K/sec
0.0,,context-switches,0.00%,435608,100.0,0.0,K/sec
0.44,msec,cpu-clock,4.45%,435608,100.0,0.456,CPUs utilized
0.0,,cpu-migrations,0.00%,435608,100.0,0.0,K/sec
0.0,,emulation-faults,0.00%,435608,100.0,0.0,K/sec
